Label,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0
0,0.116950644,27,0,46.0,,2,0,0,0,
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0
0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0
0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0
1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0
0,0.07289757,81,0,75.0,,7,0,0,0,0.0
0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0
0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0
1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0
0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0
0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0.0
0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0
0,0.013024674,61,0,15.0,,4,0,0,0,0.0
0,0.041257909,61,0,4739.0,,11,0,4,0,
0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0
0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0
0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0
0,0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0.0
0,0.147712223,40,0,0.034847816,6800.0,6,0,0,0,3.0
0,0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2.0
0,0.055549313,65,0,2177.0,,6,0,1,0,1.0
0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0
1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1.0
0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0
0,0.0,49,0,2932.0,,11,0,1,0,0.0
0,0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3.0
0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0
0,0.007506793,60,0,1253.0,,8,0,1,0,1.0
0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0.0
0,0.9999999,62,0,0.04965839,6000.0,1,0,0,0,0.0
0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0
0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0
0,0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0.0
0,0.010402205,68,0,0.094140517,3600.0,6,0,1,0,0.0
0,0.051368557,68,0,0.445277361,4668.0,10,0,1,0,2.0
0,0.191001932,54,0,0.705627706,5081.0,10,0,2,0,2.0
0,0.371875401,29,0,0.53628857,2300.0,9,0,1,0,3.0
0,0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4.0
0,0.085152475,25,0,1005.0,0.0,5,0,0,0,0.0
0,0.9999999,66,0,0.046633911,11600.0,2,0,0,0,1.0
