Label,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.016964752,51,0,0.659869848,2304.0,9,0,1,0,0.0
0,0.083238335,50,0,0.07147509,12283.0,4,0,0,0,0.0
0,0.188459473,60,0,0.273776166,6066.0,15,0,0,0,0.0
0,0.0,31,0,0.490572506,2916.0,6,0,1,0,0.0
0,0.512479201,21,0,0.101460415,1300.0,1,0,0,0,0.0
0,0.0,49,1,1226.0,,3,0,1,0,0.0
0,0.044699255,57,0,80.0,,3,0,0,0,0.0
0,0.007911329,40,0,0.973589001,2763.0,9,0,1,0,2.0
0,0.336596148,36,0,0.08037225,1181.0,2,0,0,0,0.0
0,0.0,54,0,101.0,,6,0,1,0,0.0
0,0.203839639,71,0,0.327201051,2282.0,6,0,0,0,0.0
0,0.628124912,77,0,2217.0,,16,0,1,0,0.0
0,0.444197717,69,0,3308.0,,10,0,2,0,0.0
0,0.549206628,61,0,2107.0,,8,0,2,0,1.0
0,0.0,42,0,0.259313014,6200.0,4,0,1,0,3.0
0,0.101426196,48,1,0.661961288,9350.0,9,0,1,0,0.0
0,0.438839619,38,0,0.443155684,10000.0,10,0,1,0,3.0
0,0.574309439,33,0,0.555166375,5138.0,7,0,2,0,0.0
0,0.779688125,32,0,0.108378171,1300.0,5,0,0,0,1.0
0,0.340728011,47,0,0.383046781,2500.0,6,0,1,0,3.0
0,0.002612566,67,0,0.001188707,3364.0,4,0,0,0,0.0
0,0.795905412,38,1,0.228932871,4900.0,5,0,1,0,3.0
0,0.090381924,45,0,0.351471181,2480.0,4,0,1,0,0.0
1,0.465709286,64,1,998.0,,6,0,0,0,0.0
0,0.146763574,52,0,1.195040661,7500.0,16,0,3,0,1.0
0,0.419833214,30,0,0.468623935,4461.0,8,0,1,0,0.0
0,0.0,36,0,0.300719895,9167.0,9,0,2,0,1.0
0,0.479213023,61,0,5136.0,,15,0,2,0,1.0
0,0.807349946,47,0,2857.0,,12,0,2,0,0.0
0,0.045060086,89,0,0.019932695,3862.0,6,0,0,0,0.0
0,0.055133858,69,0,0.131847532,4800.0,2,0,1,0,0.0
0,0.137285576,70,0,5669.0,,7,0,1,0,0.0
0,0.651550018,51,0,0.272835489,12600.0,12,1,2,0,1.0
0,0.329579135,51,0,0.257696469,10166.0,16,0,1,0,1.0
0,0.953046953,22,0,28.0,0.0,3,0,0,0,0.0
0,0.637472505,27,0,0.032989004,3000.0,2,0,0,0,0.0
0,0.001919846,73,0,0.0,3313.0,4,0,0,0,0.0
0,1.014965811,71,0,0.45158998,5628.0,6,0,1,1,2.0
0,0.040366523,48,0,0.006876927,8433.0,8,0,0,0,0.0
0,0.390095248,33,0,0.432369038,3836.0,7,0,0,0,2.0
0,0.944403177,52,0,0.647847343,6340.0,12,1,3,0,2.0
0,0.204052056,35,0,0.352851453,11800.0,4,0,2,0,0.0
0,0.068619,64,0,83.0,,4,0,0,0,1.0
0,0.847472151,39,1,0.372118856,3600.0,4,0,0,0,0.0
0,0.045113443,45,0,0.446271777,7174.0,9,0,2,0,2.0
0,0.416652942,35,0,0.376032459,6900.0,6,0,2,0,0.0
0,0.021519139,81,0,0.0019995,8001.0,4,0,0,0,0.0
0,0.523324618,47,1,0.4333174,8367.0,6,0,2,0,1.0
0,0.005398808,41,2,0.355507088,2750.0,7,0,1,0,3.0
0,0.9999999,38,1,0.962229217,5400.0,15,0,2,0,2.0
0,0.0,35,0,0.0,1500.0,3,0,0,0,0.0
0,0.448483621,44,2,0.19032387,2500.0,9,1,0,0,4.0
0,0.342080539,74,0,0.93890143,6644.0,13,0,5,0,0.0
0,0.773454003,50,1,0.509265431,7500.0,9,0,2,0,0.0
0,0.344157626,48,0,0.470455335,5753.0,24,1,1,0,3.0
0,0.852665738,61,4,0.210879516,22500.0,16,0,3,0,0.0
0,0.00906779,52,0,0.151667867,8333.0,16,0,1,0,0.0
0,0.776447106,37,3,0.173361522,3783.0,4,0,0,0,1.0
0,0.734619457,33,0,0.341443093,6000.0,5,0,1,1,0.0
0,0.002479802,37,0,0.514138817,3500.0,5,0,1,0,1.0
1,0.74093065,64,0,0.34990694,3760.0,9,0,1,0,3.0
0,0.732160435,47,4,0.438616265,11533.0,17,0,1,0,1.0
0,0.519827826,40,0,0.406066275,7483.0,8,0,2,0,1.0
0,0.401029529,60,0,0.572668113,7375.0,8,0,3,0,0.0
0,0.569043836,43,1,0.376362364,10000.0,11,0,2,0,1.0
0,0.196980302,55,0,0.021843762,2700.0,3,0,0,0,0.0
0,0.596443268,66,0,0.4925015,5000.0,11,0,1,0,0.0
0,0.0,65,0,0.169280878,11666.0,7,0,1,0,0.0
0,0.297058737,45,0,0.413328411,5416.0,10,0,1,0,2.0
0,0.866614867,48,3,0.789051764,4365.0,4,0,1,1,3.0
0,0.088721122,60,0,0.308694876,5600.0,10,0,1,0,0.0
0,0.014770759,73,0,0.105747533,22600.0,5,0,1,0,1.0
0,0.110514683,35,0,0.240258883,7570.0,8,0,1,0,0.0
0,0.018477975,64,0,0.273828331,7595.0,12,0,1,0,2.0
0,0.806271745,44,0,0.239363091,7661.0,12,0,0,0,0.0
0,0.910179641,53,0,207.0,,2,1,0,0,0.0
1,1.01059788,30,5,0.992458005,2916.0,9,0,2,0,0.0
