Label,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR
1,25.0,24.75,24.56,25.44,121,34,53,40,0.41,0.1,0.1,0.09,390,0.388461538462,0,0
1,25.0,24.75,24.56,25.44,121,34,54,40,0.18,0.06,0.06,0.06,390,0.253846153846,0,0
1,25.0,24.75,24.56,25.44,120,34,54,40,1.39,0.32,0.43,0.06,390,0.0769230769231,1,0
1,25.06,24.88,24.63,25.56,123,35,58,44,0.57,0.17,0.21,0.13,390,-0.630769230769,1,0
1,25.06,24.88,24.63,25.5,123,35,58,45,0.13,0.06,0.06,0.06,395,-0.373076923077,0,0
1,25.06,24.88,24.63,25.56,123,35,57,44,0.15,0.05,0.06,0.06,395,-0.0923076923077,0,0
1,25.13,24.88,24.63,25.56,123,35,58,45,0.11,0.05,0.06,0.06,395,0.0615384615385,0,0
1,25.13,24.88,24.69,25.56,123,35,58,45,0.98,0.25,0.19,0.16,405,0.769230769231,1,0
1,25.19,24.94,24.75,25.63,124,35,60,46,0.17,0.05,0.06,0.06,425,1.17307692308,0,0
1,25.19,24.94,24.75,25.63,124,36,61,47,1.44,0.12,0.15,0.09,430,1.2,0,0
1,25.25,24.94,24.75,25.56,124,36,60,46,0.09,0.05,0.06,0.06,425,1.21923076923,0,0
1,25.25,24.94,24.75,25.63,123,35,60,45,0.24,0.11,0.14,0.07,420,0.965384615385,0,0
1,25.31,25.0,24.81,25.75,124,37,64,49,1.85,0.19,0.15,0.12,445,0.857692307692,0,0
1,25.31,25.0,24.81,25.75,123,37,64,49,0.36,0.09,0.09,0.09,450,0.984615384615,1,0
2,25.38,25.44,24.81,25.69,150,187,63,49,0.46,0.46,0.21,0.11,450,1.08846153846,1,1
2,25.38,25.44,24.88,25.75,157,240,69,54,2.49,0.67,0.2,0.12,450,0.361538461538,1,0
2,25.44,25.56,24.94,25.75,155,237,71,55,0.43,0.36,0.21,0.11,500,1.70769230769,1,1
2,25.5,25.56,24.88,25.81,155,237,71,55,1.87,0.56,0.23,0.14,500,1.99615384615,1,1
2,25.5,25.56,24.94,25.81,155,234,72,55,0.49,0.23,0.19,0.15,540,3.86538461538,1,1
2,25.5,25.63,24.94,25.81,155,234,73,56,0.33,0.19,0.11,0.13,545,3.90769230769,1,0
2,25.56,25.75,25.0,25.81,155,233,75,57,1.16,0.27,0.09,0.07,555,2.89615384615,1,1
2,25.56,25.75,25.0,25.88,155,232,75,58,0.41,1.05,0.29,0.17,570,2.32307692308,1,1
2,25.56,27.19,25.06,25.88,156,243,71,57,0.37,0.1,0.22,0.06,590,1.99615384615,0,0
2,25.56,27.44,25.06,26.0,156,244,75,58,0.1,0.05,0.06,0.06,600,2.14615384615,0,0
2,25.63,27.44,25.06,25.94,157,245,79,60,0.74,0.15,0.12,0.13,610,0.953846153846,1,0
2,25.63,27.5,25.06,25.94,156,244,79,60,0.43,0.42,0.17,0.18,615,0.957692307692,1,0
2,25.63,27.63,25.13,25.94,157,244,79,60,0.63,0.57,0.18,0.15,630,1.53846153846,1,0
2,25.69,27.75,25.13,26.0,155,239,79,59,0.72,0.66,0.24,0.21,635,2.03076923077,1,1
2,25.63,28.0,25.13,26.06,156,243,78,60,0.71,0.69,0.25,0.17,630,1.81153846154,1,1
2,25.69,28.19,25.13,26.06,156,243,79,61,0.75,0.55,0.61,0.17,635,1.67692307692,1,0
2,25.69,28.13,25.13,26.0,156,244,81,63,1.53,0.37,0.18,0.08,645,1.01923076923,1,0
2,25.69,28.13,25.13,26.0,157,244,82,63,0.8,0.37,0.14,0.18,650,1.02692307692,0,0
3,25.69,28.44,25.19,26.0,156,244,190,64,1.12,0.49,0.77,0.25,645,0.411538461538,1,1
3,25.81,28.81,25.31,26.06,160,244,223,67,0.79,0.46,3.63,0.43,670,1.03846153846,1,1
3,25.94,28.13,25.5,26.19,164,249,229,70,0.89,0.83,2.56,0.47,810,4.20769230769,1,1
3,25.94,28.13,25.5,26.19,163,248,229,70,2.25,3.4,3.66,0.31,815,6.36153846154,1,1
3,25.94,28.38,25.56,26.19,162,248,228,70,1.56,1.35,3.66,0.31,820,7.70769230769,0,1
3,25.94,28.25,25.56,26.13,162,249,228,70,0.41,0.22,0.71,0.26,845,8.98076923077,1,1
3,25.94,28.0,25.63,26.19,163,250,226,70,0.39,0.54,1.31,0.3,840,7.96923076923,1,1
3,26.0,27.81,25.75,26.25,164,253,272,71,0.3,0.23,0.83,0.18,860,1.40384615385,1,1
3,26.0,27.88,25.81,26.19,164,253,270,70,0.15,0.14,0.07,0.07,860,0.880769230769,0,1
3,26.0,27.69,25.81,26.19,163,252,267,70,0.08,0.13,0.13,0.07,880,1.24615384615,0,0
2,26.0,27.63,25.88,26.25,165,254,270,71,0.48,0.4,1.2,0.33,875,1.50769230769,1,1
2,26.0,27.5,25.88,26.31,165,254,275,70,0.29,0.44,0.92,0.74,870,1.21923076923,0,1
2,26.06,27.31,25.94,26.25,165,254,250,71,0.55,0.4,0.27,0.22,845,-0.4,1,1
3,26.06,27.31,25.88,26.31,164,247,279,72,0.79,0.79,2.37,0.79,865,-0.892307692308,1,1
3,26.06,27.25,25.94,26.31,165,254,275,70,0.09,0.21,0.52,0.1,880,1.04230769231,0,1
3,26.06,27.06,25.94,26.31,165,255,272,72,0.09,0.12,0.7,0.1,880,1.15769230769,0,0
3,26.13,27.19,26.0,26.31,164,254,274,70,0.11,0.06,0.21,0.08,910,1.26538461538,0,0
3,26.13,27.19,26.0,26.25,165,256,273,73,0.88,0.76,2.6,0.66,925,2.15769230769,1,1
3,26.13,27.06,26.0,26.5,165,257,280,73,0.14,0.15,0.19,0.1,925,1.23846153846,1,0
3,26.19,27.13,26.0,26.38,165,255,277,73,0.08,0.1,0.27,0.07,955,1.35769230769,0,0
0,26.19,27.25,26.13,26.44,19,22,97,60,0.42,3.03,3.67,0.64,950,-0.0692307692308,1,1
0,26.13,26.81,26.13,26.44,19,23,101,61,0.08,0.05,0.06,0.06,970,-0.211538461538,0,0
0,26.19,26.63,26.06,26.38,18,22,96,59,0.07,0.05,0.06,0.06,965,0.3,0,0
0,26.13,26.56,26.06,26.38,18,22,95,59,0.07,0.05,0.06,0.07,965,0.380769230769,0,0
0,26.13,26.56,26.0,26.38,19,23,100,60,0.08,0.04,0.06,0.07,970,0.65,0,0
0,26.06,26.5,26.0,26.31,19,23,99,61,0.07,0.1,0.2,0.06,960,0.407692307692,0,0
0,26.06,26.44,26.0,26.38,18,22,99,59,0.07,0.14,0.21,0.17,945,-0.519230769231,0,0
0,26.06,26.38,25.88,26.38,19,23,99,60,0.08,0.04,0.06,0.06,890,-2.68846153846,0,0
0,26.06,26.38,25.88,26.38,19,23,99,61,0.08,0.11,0.1,0.09,870,-3.68846153846,0,0
0,26.06,26.38,25.88,26.38,19,23,99,61,0.07,0.1,0.09,0.09,865,-4.19615384615,0,0
0,26.06,26.38,25.88,26.38,18,23,99,60,0.07,0.07,0.07,0.09,855,-4.76923076923,0,0
0,26.06,26.31,25.88,26.38,18,22,97,59,0.07,0.05,0.05,0.06,845,-5.70384615385,0,0
0,26.06,26.31,25.88,26.38,17,21,94,57,0.08,0.05,0.06,0.07,845,-6.17692307692,0,0
0,26.0,26.25,25.88,26.38,17,21,92,56,0.07,0.05,0.06,0.07,840,-6.29615384615,0,0
0,26.0,26.25,25.88,26.38,18,22,95,59,0.07,0.05,0.06,0.06,835,-6.13846153846,0,0
0,26.0,26.19,25.88,26.38,17,21,93,57,0.07,0.05,0.07,0.06,815,-2.82307692308,0,0
0,26.0,26.13,25.81,26.38,17,21,93,58,0.07,0.07,0.06,0.06,805,-2.35,0,0
0,26.0,26.19,25.81,26.31,17,21,94,58,0.06,0.05,0.07,0.06,805,-2.21153846154,0,0
0,25.94,26.06,25.81,26.38,15,20,89,54,0.07,0.05,0.06,0.06,750,-3.99230769231,0,0
0,25.88,26.06,25.75,26.31,14,18,82,51,0.08,0.04,0.07,0.07,715,-2.74230769231,0,0
0,25.88,26.0,25.75,26.31,14,19,87,54,0.07,0.05,0.05,0.06,705,-2.55,0,0
0,25.88,25.94,25.75,26.38,15,20,90,56,0.08,0.05,0.06,0.06,685,-2.74230769231,0,0
0,25.88,25.94,25.75,26.31,14,17,81,50,0.08,0.1,0.11,0.08,685,-1.92307692308,0,0
0,25.88,25.94,25.75,26.31,14,17,80,49,0.08,0.05,0.06,0.06,675,-1.80769230769,0,0
0,25.88,25.94,25.75,26.31,14,17,80,49,0.07,0.05,0.08,0.08,675,-1.78846153846,0,0
0,25.81,25.88,25.69,26.38,14,17,80,50,0.06,0.05,0.06,0.06,640,-2.09615384615,0,0
0,25.81,25.88,25.69,26.31,13,16,80,49,0.07,0.07,0.07,0.07,620,-2.95769230769,0,0
0,25.81,25.88,25.69,26.31,13,16,80,49,0.07,0.05,0.06,0.06,595,-3.69615384615,0,0
1,25.88,25.88,25.69,26.25,119,35,74,48,0.26,0.06,0.06,0.11,585,-2.70384615385,1,0
1,25.88,25.88,25.69,26.31,119,35,73,46,0.08,0.05,0.05,0.08,590,-2.54230769231,1,0
1,25.88,25.88,25.63,26.31,120,35,72,45,0.17,0.05,0.07,0.06,595,-2.28846153846,0,0
1,25.94,25.88,25.63,26.31,120,33,69,43,0.72,0.63,0.26,0.29,570,-1.27692307692,0,0
1,25.94,25.81,25.63,26.31,119,32,65,40,0.94,0.1,0.1,0.08,575,-0.761538461538,0,0
1,25.94,25.81,25.63,26.25,119,33,67,42,0.63,0.15,0.09,0.08,570,-0.434615384615,0,0
1,26.0,25.81,25.63,26.31,119,33,66,42,0.07,0.17,0.06,0.11,565,-0.434615384615,0,0
1,26.0,25.81,25.63,26.31,119,33,65,42,1.64,0.18,0.12,0.11,570,-0.376923076923,1,0
1,26.0,25.81,25.63,26.31,119,32,65,40,0.08,0.06,0.07,0.06,570,-0.396153846154,0,0
1,26.0,25.81,25.69,26.31,119,32,64,40,0.21,0.05,0.07,0.06,580,-0.230769230769,1,0
1,26.06,25.81,25.69,26.31,119,31,59,38,0.08,0.05,0.06,0.07,590,0.746153846154,0,0
1,26.0,25.81,25.63,26.25,119,31,59,37,0.09,0.06,0.05,0.06,590,0.938461538462,1,0
1,26.0,25.81,25.63,26.31,119,30,55,35,0.09,0.05,0.06,0.06,595,1.67307692308,0,0
1,26.0,25.81,25.63,26.31,119,29,54,34,0.08,0.05,0.06,0.06,595,1.59230769231,0,0
1,26.06,25.75,25.56,26.38,119,29,50,29,0.43,0.12,0.14,0.33,600,0.334615384615,0,0
1,26.06,25.75,25.56,26.38,118,28,49,29,0.13,0.05,0.05,0.07,595,0.134615384615,0,0
