Label,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR
0,25.19,25.25,24.69,25.56,0,0,0,0,0.08,0.05,0.06,0.05,360,0.0230769230769,0,0
0,25.44,25.44,24.94,25.69,0,0,0,0,0.07,0.05,0.06,0.06,370,0.0,0,0
0,25.31,25.38,25.25,26.0,16,20,71,53,0.07,0.06,0.06,0.1,355,0.0,0,0
0,26.13,26.0,25.81,26.19,0,0,0,0,0.07,0.05,0.07,0.06,990,-1.30769230769,0,0
0,25.25,25.25,24.75,25.56,0,0,0,0,0.07,0.05,0.06,0.06,365,0.00384615384615,0,0
0,25.5,25.5,25.19,25.63,0,0,0,0,0.07,0.04,0.06,0.09,385,-0.276923076923,0,0
0,25.25,25.25,24.81,25.63,0,0,0,0,0.07,0.05,0.07,0.06,365,0.0,0,0
0,25.44,25.38,25.06,25.88,0,0,0,0,0.07,0.05,0.06,0.09,355,0.0,0,0
0,25.38,25.38,24.94,25.75,0,0,0,0,0.07,0.05,0.06,0.1,355,0.0,0,0
0,25.19,25.19,24.69,25.25,0,0,0,0,0.08,0.04,0.06,0.08,345,0.0,0,0
3,26.25,26.81,25.94,26.38,149,235,178,10,0.13,0.07,0.17,0.1,895,2.33461538462,1,1
3,26.31,26.63,26.06,26.44,149,236,180,10,0.43,0.97,2.96,0.65,1170,2.81538461538,1,1
0,25.31,25.31,24.88,25.75,0,0,0,0,0.07,0.04,0.06,0.06,370,0.0,0,0
0,25.25,25.31,24.75,25.63,0,0,0,0,0.06,0.05,0.06,0.05,360,0.0,0,0
0,25.38,25.44,25.06,25.94,0,0,0,0,0.08,0.05,0.07,0.1,355,0.153846153846,0,0
0,25.06,25.06,24.44,25.31,0,0,6,4,0.08,0.05,0.07,0.06,355,0.0,0,0
0,25.81,25.94,25.56,25.81,0,0,0,0,0.07,0.05,0.06,0.09,760,-2.11538461538,0,0
0,25.25,25.25,24.81,25.38,0,0,0,0,0.07,0.04,0.07,0.1,345,0.0,0,0
0,25.38,25.38,24.94,25.81,0,0,0,0,0.08,0.05,0.06,0.1,355,0.0,0,0
0,25.75,25.69,25.31,25.94,0,0,0,0,0.07,0.05,0.06,0.06,670,-1.85,0,0
0,25.38,25.44,24.88,25.75,0,0,0,0,0.07,0.04,0.05,0.06,365,0.0,0,0
0,25.38,25.44,25.38,26.13,10,13,54,40,0.09,0.07,0.07,0.1,355,0.0,0,0
2,25.56,25.69,25.0,25.94,151,232,75,58,2.12,1.03,0.16,0.46,570,2.23076923077,1,1
0,25.13,25.19,24.69,25.31,0,0,0,0,0.08,0.04,0.05,0.09,345,0.0,0,0
0,25.31,25.31,24.81,25.75,0,0,0,0,0.06,0.05,0.06,0.06,365,0.0538461538462,0,0
0,25.44,25.44,25.38,26.13,5,7,33,23,0.07,0.05,0.06,0.1,350,0.161538461538,0,0
0,25.44,25.44,25.13,25.94,0,0,0,0,0.07,0.05,0.06,0.1,350,-0.05,0,0
3,25.69,26.31,25.56,25.75,8,8,30,29,0.22,0.84,0.15,0.18,460,2.59230769231,1,1
0,25.38,25.38,25.31,26.0,19,23,80,59,0.07,0.05,0.06,0.1,355,0.0,0,0
0,25.06,25.06,24.56,25.25,6,7,34,23,0.08,0.06,0.06,0.06,360,0.0,0,0
0,25.25,25.31,24.75,25.63,0,0,0,0,0.07,0.05,0.06,0.06,360,0.0,0,0
2,25.69,28.13,25.13,26.06,156,244,80,62,0.62,0.12,0.24,0.07,635,1.40769230769,1,0
0,26.0,26.13,25.63,26.13,0,0,0,0,0.07,0.05,0.07,0.06,975,-2.43461538462,0,0
2,26.13,25.75,25.75,26.31,116,24,181,14,0.12,0.1,0.18,0.06,725,1.76538461538,0,1
0,25.13,25.13,24.63,25.25,0,0,0,0,0.08,0.05,0.06,0.08,345,0.0,0,0
3,26.31,27.56,26.06,26.44,150,237,180,11,0.19,0.08,0.07,0.06,1200,2.38076923077,1,0
0,25.5,25.44,25.19,25.63,0,0,0,0,0.07,0.04,0.05,0.08,385,-0.296153846154,0,0
0,25.06,25.06,24.56,25.19,0,0,0,0,0.07,0.04,0.05,0.08,345,0.0,0,0
0,25.13,25.06,24.63,25.19,0,0,0,0,0.08,0.04,0.06,0.08,345,0.0,0,0
0,25.06,25.06,24.56,25.25,6,6,32,20,0.08,0.05,0.06,0.05,360,0.0,0,0
0,25.19,25.19,24.75,25.31,0,0,0,0,0.07,0.04,0.06,0.08,345,0.0,0,0
0,25.44,25.44,25.06,25.5,0,0,0,0,0.08,0.04,0.05,0.08,370,0.0,0,0
0,25.31,25.31,24.88,25.75,0,0,0,0,0.07,0.05,0.05,0.07,370,0.0,0,0
0,25.25,25.25,24.75,25.63,0,0,0,0,0.07,0.05,0.07,0.07,365,0.0,0,0
0,25.56,25.56,25.13,25.75,0,0,0,0,0.06,0.05,0.05,0.06,395,-1.43846153846,0,0
0,25.69,25.69,25.31,25.94,0,0,0,0,0.07,0.05,0.06,0.07,650,-2.28076923077,0,0
0,25.38,25.38,25.0,25.5,0,0,0,0,0.08,0.04,0.06,0.09,360,-0.273076923077,0,0
0,25.0,25.06,24.44,25.31,2,2,14,10,0.08,0.05,0.06,0.06,355,0.0269230769231,0,0
2,26.06,27.06,25.5,26.31,160,249,79,59,0.75,1.46,0.38,0.36,595,1.57692307692,0,0
1,25.94,26.81,25.5,26.25,120,24,42,31,0.08,0.07,0.06,0.06,435,0.9,0,0
0,25.38,25.38,24.94,25.75,0,0,0,0,0.06,0.05,0.06,0.06,375,0.0,0,0
0,25.06,25.13,24.5,25.13,0,0,0,0,0.08,0.06,0.06,0.06,355,-0.0923076923077,0,0
0,25.13,25.06,24.63,25.13,6,6,29,20,0.07,0.05,0.06,0.08,345,0.0,0,0
2,26.19,25.75,25.75,26.31,115,24,180,12,0.1,0.05,0.24,0.06,735,1.33076923077,0,0
0,25.63,25.63,25.31,25.75,0,0,0,0,0.08,0.04,0.06,0.08,605,-0.973076923077,0,0
0,25.38,25.38,24.88,25.75,0,0,0,0,0.06,0.05,0.06,0.06,365,0.0,0,0
0,25.38,25.44,25.06,25.81,0,0,0,0,0.08,0.05,0.06,0.1,355,-0.05,0,0
0,25.06,25.13,24.56,25.44,3,3,16,10,0.08,0.05,0.07,0.07,360,0.0230769230769,0,0
0,25.44,25.44,24.94,25.56,0,0,0,0,0.07,0.05,0.05,0.06,370,-0.184615384615,0,0
0,25.06,25.06,24.56,25.13,2,2,14,9,0.07,0.05,0.07,0.1,350,0.0,0,0
0,25.06,25.06,24.56,25.31,2,2,11,7,0.08,0.05,0.07,0.1,350,0.0,0,0
0,25.44,25.44,24.94,25.69,0,0,0,0,0.06,0.05,0.06,0.06,365,-0.0538461538462,0,0
0,25.19,25.19,24.75,25.31,0,0,0,0,0.07,0.05,0.05,0.08,345,0.0,0,0
2,26.13,25.75,25.75,26.25,116,25,188,16,0.32,0.08,0.14,0.1,700,2.40769230769,0,0
1,25.94,25.88,25.63,26.31,119,33,67,42,0.08,0.09,0.07,0.06,570,-1.18846153846,0,0
0,25.13,25.13,24.63,25.19,0,0,0,0,0.08,0.05,0.05,0.08,345,0.0,0,0
0,25.13,25.13,24.5,25.44,2,2,14,9,0.06,0.04,0.06,0.08,355,-0.0653846153846,0,0
3,25.69,26.19,25.56,25.75,8,8,30,28,0.15,0.72,0.13,0.09,475,2.61153846154,0,1
0,25.56,25.56,25.13,25.88,0,0,0,0,0.06,0.05,0.06,0.06,455,-0.992307692308,0,0
0,25.25,25.25,24.75,25.63,0,0,0,0,0.07,0.05,0.07,0.06,365,0.0,0,0
0,25.0,25.06,24.56,25.19,6,6,33,21,0.07,0.05,0.06,0.05,360,0.0,0,0
1,25.44,25.31,25.06,25.88,124,37,66,48,0.49,0.15,0.42,0.16,360,0.0,0,0
3,25.5,25.75,25.38,25.63,10,11,52,35,0.39,0.39,0.92,0.27,370,0.969230769231,1,1
0,25.31,25.31,24.81,25.69,0,0,0,0,0.07,0.05,0.06,0.1,355,0.0,0,0
0,25.38,25.44,24.88,25.69,0,0,0,0,0.06,0.05,0.07,0.06,365,0.0,0,0
0,25.44,25.44,25.19,26.06,0,0,2,2,0.08,0.05,0.07,0.1,350,0.0,0,0
3,26.19,27.25,26.06,26.31,164,252,273,74,0.09,0.08,0.06,0.07,970,1.96923076923,0,0
0,25.38,25.38,25.0,25.81,0,0,0,0,0.07,0.05,0.06,0.1,355,0.0,0,0
0,25.25,25.25,24.69,25.5,0,0,0,0,0.08,0.06,0.06,0.05,360,-0.203846153846,0,0
0,25.44,25.44,25.38,26.13,5,6,29,21,0.08,0.05,0.06,0.09,350,0.0538461538462,0,0
0,25.38,25.38,25.0,25.81,0,0,0,0,0.08,0.05,0.07,0.09,355,0.0,0,0
0,26.0,26.19,25.69,26.0,0,0,0,0,0.07,0.05,0.06,0.09,855,0.892307692308,0,0
0,25.38,25.31,24.88,25.75,0,0,0,0,0.07,0.05,0.06,0.06,370,-0.107692307692,0,0
3,26.25,26.38,25.94,26.38,150,235,186,10,0.25,3.44,0.84,0.24,1050,2.08461538462,1,1
2,26.19,25.75,25.75,26.31,115,24,180,12,0.07,0.05,0.06,0.06,735,1.39230769231,0,1
0,25.88,26.06,25.63,25.88,0,0,0,0,0.07,0.05,0.06,0.09,805,-1.69230769231,0,0
0,25.88,27.0,25.5,26.31,14,15,72,52,0.08,0.08,0.09,0.06,550,-3.72692307692,0,0
